Element Number	Bending Stress (MPa)
692	-0.52924
693	-0.53153
694	-0.53096
695	-0.53211
696	-0.53192
697	-0.53193
698	-0.53212
699	-0.53097
700	-0.53155
701	-0.52925
702	-0.53021
703	-0.52676
704	-0.5281
705	-0.52351
706	-0.52523
707	-0.51949
708	-0.52159
709	-0.51719
710	-0.51719
711	-0.51717
712	-0.52158
713	-0.51947
714	-0.52522
715	-0.5235
716	-0.5281
717	-0.52675
718	-0.53021
719	-0.52925
720	-0.53156
721	-0.53098
722	-0.53213
723	-0.53194
724	-0.53191
725	-0.53212
726	-0.53091
727	-0.5315
728	-0.52916
729	-0.53012
730	-0.52666
731	-0.528
732	-0.52342
733	-0.52514
734	-0.51941
735	-0.5215
736	-0.5171
737	-0.51733
738	-0.52168
739	-0.51963
740	-0.52529
741	-0.52357
742	-0.52813
743	-0.52681
744	-0.53022
745	-0.52927
746	-0.53155
747	-0.53098
748	-0.53212
749	-0.53193
750	-0.53193
751	-0.53212
752	-0.53097
753	-0.53154
754	-0.52925
755	-0.5302
756	-0.52676
757	-0.5281
758	-0.52523
759	-0.51719
760	-0.52159
761	-0.51948
762	-0.52523
763	-0.5235
764	-0.5281
765	-0.52676
766	-0.53021
767	-0.52925
768	-0.53155
769	-0.53097
770	-0.53212
771	-0.53193
772	-0.53193
773	-0.53212
774	-0.53098
775	-0.53155
776	-0.52926
777	-0.53022
778	-0.52677
779	-0.52811
780	-0.52158
781	-0.51471
782	-0.5147
783	-0.5147
784	-0.5146
785	-0.51891
786	-0.52052
787	-0.51682
788	-0.51454
789	-0.5189
790	-0.51682
791	-0.52251
792	-0.5208
793	-0.52536
794	-0.52403
795	-0.52745
796	-0.5265
797	-0.52879
798	-0.52821
799	-0.52937
800	-0.52917
801	-0.52918
802	-0.52937
803	-0.52823
804	-0.5288
805	-0.52652
806	-0.52747
807	-0.52405
808	-0.52538
809	-0.52082
810	-0.52253
811	-0.51206
812	-0.51454
813	-0.51207
814	-0.51453
815	-0.51205
816	-0.51892
817	-0.51683
818	-0.51207
