Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Directional Deformation (mm)
350	470.	-1000.	0.	0.
351	480.	-1000.	0.	0.
352	490.	-1000.	0.	0.
353	500.	-1000.	0.	0.
354	510.	-1000.	0.	0.
355	520.	-1000.	0.	0.
356	530.	-1000.	0.	0.
357	540.	-1000.	0.	0.
358	550.	-1000.	0.	0.
359	560.	-1000.	0.	0.
360	570.	-1000.	0.	0.
361	580.	-1000.	0.	0.
362	590.	-1000.	0.	0.
363	600.	-1000.	0.	0.
364	610.	-1000.	0.	0.
365	620.	-1000.	0.	0.
366	630.	-1000.	0.	0.
367	640.	-1000.	0.	0.
368	650.	-1000.	0.	0.
369	660.	-1000.	0.	0.
370	670.	-1000.	0.	0.
371	680.	-1000.	0.	0.
372	690.	-1000.	0.	0.
373	700.	-1000.	0.	0.
374	710.	-1000.	0.	0.
375	720.	-1000.	0.	0.
376	730.	-1000.	0.	0.
377	740.	-1000.	0.	0.
378	750.	-1000.	0.	0.
379	760.	-1000.	0.	0.
380	770.	-1000.	0.	0.
381	780.	-1000.	0.	0.
382	790.	-1000.	0.	0.
383	800.	-1000.	0.	0.
384	810.	-1000.	0.	0.
385	820.	-1000.	0.	0.
386	830.	-1000.	0.	0.
387	840.	-1000.	0.	0.
388	850.	-1000.	0.	0.
389	860.	-1000.	0.	0.
390	870.	-1000.	0.	0.
391	880.	-1000.	0.	0.
392	890.	-1000.	0.	0.
393	900.	-1000.	0.	0.
394	910.	-1000.	0.	0.
395	920.	-1000.	0.	0.
396	930.	-1000.	0.	0.
397	940.	-1000.	0.	0.
398	950.	-1000.	0.	0.
399	960.	-1000.	0.	0.
400	970.	-1000.	0.	0.
401	980.	-1000.	0.	0.
402	990.	-1000.	0.	0.
403	-990.	1000.	0.	0.
404	-980.	1000.	0.	0.
405	-970.	1000.	0.	0.
406	-960.	1000.	0.	0.
407	-950.	1000.	0.	0.
408	-940.	1000.	0.	0.
409	-930.	1000.	0.	0.
410	-920.	1000.	0.	0.
411	-910.	1000.	0.	0.
412	-900.	1000.	0.	0.
413	-890.	1000.	0.	0.
414	-880.	1000.	0.	0.
415	-870.	1000.	0.	0.
416	-860.	1000.	0.	0.
417	-850.	1000.	0.	0.
418	-840.	1000.	0.	0.
419	-830.	1000.	0.	0.
420	-820.	1000.	0.	0.
421	-810.	1000.	0.	0.
422	-800.	1000.	0.	0.
423	-790.	1000.	0.	0.
424	-780.	1000.	0.	0.
425	-770.	1000.	0.	0.
426	-760.	1000.	0.	0.
427	-750.	1000.	0.	0.
428	-740.	1000.	0.	0.
429	-730.	1000.	0.	0.
430	-720.	1000.	0.	0.
431	-710.	1000.	0.	0.
432	-700.	1000.	0.	0.
433	-690.	1000.	0.	0.
434	-680.	1000.	0.	0.
435	-670.	1000.	0.	0.
436	-660.	1000.	0.	0.
437	-650.	1000.	0.	0.
438	-640.	1000.	0.	0.
439	-630.	1000.	0.	0.
440	-620.	1000.	0.	0.
441	-610.	1000.	0.	0.
442	-600.	1000.	0.	0.
443	-590.	1000.	0.	0.
444	-580.	1000.	0.	0.
445	-570.	1000.	0.	0.
446	-560.	1000.	0.	0.
447	-550.	1000.	0.	0.
448	-540.	1000.	0.	0.
449	-530.	1000.	0.	0.
450	-520.	1000.	0.	0.
451	-510.	1000.	0.	0.
452	-500.	1000.	0.	0.
453	-490.	1000.	0.	0.
454	-480.	1000.	0.	0.
455	-470.	1000.	0.	0.
456	-460.	1000.	0.	0.
457	-450.	1000.	0.	0.
458	-440.	1000.	0.	0.
459	-430.	1000.	0.	0.
460	-420.	1000.	0.	0.
461	-410.	1000.	0.	0.
462	-400.	1000.	0.	0.
463	-390.	1000.	0.	0.
464	-380.	1000.	0.	0.
465	-370.	1000.	0.	0.
466	-360.	1000.	0.	0.
467	-350.	1000.	0.	0.
468	-340.	1000.	0.	0.
469	-330.	1000.	0.	0.
470	-320.	1000.	0.	0.
471	-310.	1000.	0.	0.
472	-300.	1000.	0.	0.
473	-290.	1000.	0.	0.
474	-280.	1000.	0.	0.
475	-270.	1000.	0.	0.
476	-260.	1000.	0.	0.
477	-250.	1000.	0.	0.
478	-240.	1000.	0.	0.
479	-230.	1000.	0.	0.
480	-220.	1000.	0.	0.
481	-210.	1000.	0.	0.
482	-200.	1000.	0.	0.
483	-190.	1000.	0.	0.
484	-180.	1000.	0.	0.
485	-170.	1000.	0.	0.
486	-160.	1000.	0.	0.
487	-150.	1000.	0.	0.
488	-140.	1000.	0.	0.
489	-130.	1000.	0.	0.
490	-120.	1000.	0.	0.
491	-110.	1000.	0.	0.
492	-100.	1000.	0.	0.
493	-90.	1000.	0.	0.
494	-80.	1000.	0.	0.
495	-70.	1000.	0.	0.
496	-60.	1000.	0.	0.
497	-50.	1000.	0.	0.
