Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Shear Elastic Strain (mm/mm)
14354	-720.	-310.	0.	-1.5878e-006
14354	-720.	-310.	0.	1.5878e-006
14355	-720.01	-289.99	0.	-1.4959e-006
14355	-720.01	-289.99	0.	1.4959e-006
14356	-720.06	-269.96	0.	-1.4016e-006
14356	-720.06	-269.96	0.	1.4016e-006
14357	-720.15	-249.93	0.	-1.305e-006
14357	-720.15	-249.93	0.	1.305e-006
14358	-720.2	-229.92	0.	-1.2068e-006
14358	-720.2	-229.92	0.	1.2068e-006
14359	-720.12	-209.94	0.	-1.1072e-006
14359	-720.12	-209.94	0.	1.1072e-006
14360	-720.04	-189.97	0.	-1.0062e-006
14360	-720.04	-189.97	0.	1.0062e-006
14361	-720.02	-179.98	0.	-9.5515e-007
14361	-720.02	-179.98	0.	9.5515e-007
14362	-720.01	-169.99	0.	-9.0376e-007
14362	-720.01	-169.99	0.	9.0376e-007
14363	-720.	-159.99	0.	-8.5206e-007
14363	-720.	-159.99	0.	8.5206e-007
14364	-720.	-150.	0.	-8.0007e-007
14364	-720.	-150.	0.	8.0007e-007
14365	-720.	-140.	0.	-7.4782e-007
14365	-720.	-140.	0.	7.4782e-007
14366	-720.	-130.	0.	-6.9535e-007
14366	-720.	-130.	0.	6.9535e-007
14367	-720.	-110.	0.	-5.8977e-007
14367	-720.	-110.	0.	5.8977e-007
14368	-720.	-90.	0.	-4.8348e-007
14368	-720.	-90.	0.	4.8348e-007
14369	-720.	-80.	0.	-4.3011e-007
14369	-720.	-80.	0.	4.3011e-007
14370	-720.	-70.	0.	-3.7662e-007
14370	-720.	-70.	0.	3.7662e-007
14371	-720.	-50.	0.	-2.6932e-007
14371	-720.	-50.	0.	2.6932e-007
14372	-720.	-40.	0.	-2.1555e-007
14372	-720.	-40.	0.	2.1555e-007
14373	-720.	-30.	0.	-1.6172e-007
14373	-720.	-30.	0.	1.6172e-007
14374	-720.	-20.	0.	-1.0784e-007
14374	-720.	-20.	0.	1.0784e-007
14375	-720.	10.	0.	5.3926e-008
14375	-720.	10.	0.	-5.3926e-008
14376	-720.	30.	0.	1.6172e-007
14376	-720.	30.	0.	-1.6172e-007
14377	-720.	70.	0.	3.7662e-007
14377	-720.	70.	0.	-3.7662e-007
14378	-720.	90.	0.	4.8348e-007
14378	-720.	90.	0.	-4.8348e-007
14379	-720.	110.	0.	5.8977e-007
14379	-720.	110.	0.	-5.8977e-007
14380	-720.	130.	0.	6.9535e-007
14380	-720.	130.	0.	-6.9535e-007
14381	-720.	150.	0.	8.0009e-007
14381	-720.	150.	0.	-8.0009e-007
14382	-720.	160.	0.	8.521e-007
14382	-720.	160.	0.	-8.521e-007
14383	-720.	170.	0.	9.0383e-007
14383	-720.	170.	0.	-9.0383e-007
14384	-720.	190.	0.	1.0064e-006
14384	-720.	190.	0.	-1.0064e-006
14385	-720.	210.	0.	1.1077e-006
14385	-720.	210.	0.	-1.1077e-006
14386	-720.	230.	0.	1.2075e-006
14386	-720.	230.	0.	-1.2075e-006
14387	-720.	240.	0.	1.2568e-006
14387	-720.	240.	0.	-1.2568e-006
14388	-720.	250.	0.	1.3056e-006
14388	-720.	250.	0.	-1.3056e-006
14389	-720.	260.	0.	1.354e-006
14389	-720.	260.	0.	-1.354e-006
14390	-720.	270.	0.	1.4018e-006
14390	-720.	270.	0.	-1.4018e-006
14391	-720.	280.	0.	1.4492e-006
14391	-720.	280.	0.	-1.4492e-006
14392	-720.	290.	0.	1.496e-006
14392	-720.	290.	0.	-1.496e-006
14393	-720.	310.	0.	1.5878e-006
14393	-720.	310.	0.	-1.5878e-006
14394	-720.	330.	0.	1.6771e-006
14394	-720.	330.	0.	-1.6771e-006
14395	-720.	340.	0.	1.7207e-006
14395	-720.	340.	0.	-1.7207e-006
14396	-720.	350.	0.	1.7636e-006
