Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	Normal Elastic Strain (mm/mm)
11409	629.95	-530.01	0.	4.3808e-008
11410	629.95	-540.01	0.	-4.4542e-008
11410	629.95	-540.01	0.	4.4542e-008
11411	629.96	-550.01	0.	-4.5157e-008
11411	629.96	-550.01	0.	4.5157e-008
11412	629.97	-560.02	0.	-4.5666e-008
11412	629.97	-560.02	0.	4.5666e-008
11413	629.99	-570.02	0.	-4.6098e-008
11413	629.99	-570.02	0.	4.6098e-008
11414	630.	-580.02	0.	-4.6447e-008
11414	630.	-580.02	0.	4.6447e-008
11415	630.02	-590.03	0.	-4.6709e-008
11415	630.02	-590.03	0.	4.6709e-008
11416	630.05	-600.04	0.	-4.688e-008
11416	630.05	-600.04	0.	4.688e-008
11417	630.06	-610.05	0.	-4.6977e-008
11417	630.06	-610.05	0.	4.6977e-008
11418	630.07	-620.05	0.	-4.7025e-008
11418	630.07	-620.05	0.	4.7025e-008
11419	620.05	-630.03	0.	-7.8494e-008
11419	620.05	-630.03	0.	7.8494e-008
11420	610.04	-630.02	0.	-1.0875e-007
11420	610.04	-630.02	0.	1.0875e-007
11421	590.02	-630.01	0.	-1.6577e-007
11421	590.02	-630.01	0.	1.6577e-007
11422	580.01	-630.	0.	-1.9262e-007
11422	580.01	-630.	0.	1.9262e-007
11423	570.01	-630.	0.	-2.1839e-007
11423	570.01	-630.	0.	2.1839e-007
11424	550.	-630.	0.	-2.6689e-007
11424	550.	-630.	0.	2.6689e-007
11425	540.	-630.	0.	-2.8969e-007
11425	540.	-630.	0.	2.8969e-007
11426	530.	-630.	0.	-3.1155e-007
11426	530.	-630.	0.	3.1155e-007
11427	520.	-630.	0.	-3.3252e-007
11427	520.	-630.	0.	3.3252e-007
11428	510.	-630.	0.	-3.5261e-007
11428	510.	-630.	0.	3.5261e-007
11429	500.	-630.	0.	-3.7188e-007
11429	500.	-630.	0.	3.7188e-007
11430	490.	-630.	0.	-3.9033e-007
11430	490.	-630.	0.	3.9033e-007
11431	450.	-630.	0.	-4.566e-007
11431	450.	-630.	0.	4.566e-007
11432	430.	-630.	0.	-4.8558e-007
11432	430.	-630.	0.	4.8558e-007
11433	410.	-630.	0.	-5.1205e-007
11433	410.	-630.	0.	5.1205e-007
11434	390.	-630.	0.	-5.3617e-007
11434	390.	-630.	0.	5.3617e-007
11435	370.	-630.	0.	-5.5813e-007
11435	370.	-630.	0.	5.5813e-007
11436	350.	-630.	0.	-5.7808e-007
11436	350.	-630.	0.	5.7808e-007
11437	340.	-630.	0.	-5.8735e-007
11437	340.	-630.	0.	5.8735e-007
11438	330.	-630.	0.	-5.9617e-007
11438	330.	-630.	0.	5.9617e-007
11439	310.	-630.	0.	-6.1252e-007
11439	310.	-630.	0.	6.1252e-007
11440	290.	-630.	0.	-6.2728e-007
11440	290.	-630.	0.	6.2728e-007
11441	270.	-630.	0.	-6.4055e-007
11441	270.	-630.	0.	6.4055e-007
11442	250.	-630.	0.	-6.5245e-007
11442	250.	-630.	0.	6.5245e-007
11443	230.	-630.	0.	-6.6307e-007
11443	230.	-630.	0.	6.6307e-007
11444	220.	-630.	0.	-6.6793e-007
11444	220.	-630.	0.	6.6793e-007
11445	190.	-630.	0.	-6.8082e-007
11445	190.	-630.	0.	6.8082e-007
11446	180.	-630.	0.	-6.8459e-007
11446	180.	-630.	0.	6.8459e-007
11447	170.	-630.	0.	-6.8811e-007
11447	170.	-630.	0.	6.8811e-007
11448	150.	-630.	0.	-6.9443e-007
11448	150.	-630.	0.	6.9443e-007
11449	140.	-630.	0.	-6.9724e-007
11449	140.	-630.	0.	6.9724e-007
11450	110.	-630.	0.	-7.0438e-007
11450	110.	-630.	0.	7.0438e-007
11451	100.	-630.	0.	-7.0634e-007
11451	100.	-630.	0.	7.0634e-007
11452	90.	-630.	0.	-7.081e-007
11452	90.	-630.	0.	7.081e-007
11453	70.	-630.	0.	-7.1103e-007
11453	70.	-630.	0.	7.1103e-007
11454	60.	-630.	0.	-7.1221e-007
